Vessel Name,Date of Wreck,Event,Location of wreck,Tonnage,Length (FT),Breadth (FT),depth (ft),Masts,Decks,Hull,Description,Story,Vessel Type,Type of event,Nature of Event,Cause of Event,Cargo,Lives Lost,Voyage from,Voyage To,Remarks,Built At,Date Built,Official Number,Registered at,Date Registered,Propulsion,Rig,Details
Fundy Shoal - 1980,1980-11-21,Foundered,"Cape Sable, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Lion - 1783,1783-01-01,Wrecked,"Cape Sable, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Polly - 1795,1795-01-01,Wrecked,"Cape Sable, near",,,,,,,,,,,,,,,,,,,,,,,,,,
George - 1833,1833-05-20,Wrecked,"Cape Sable, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Provincial #2 - 1950,1950-04-08,Adrift,"Cape Sable, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Martha - 1783,1783-09-01,Wrecked,"Cape Sable, between Tusket and",,,,,,,,,,,,,,,,,,,,,,,,,,
Dawn Wilkie - 1933,1933-01-22,Foundered,"Cape Sable, approx. 75 miles SSW of",,,,,,,,,,,,,,,,,,,,,,,,,,
W. K. Smith - 1900,1900-10-01,Burnt,"Cape Sable, 50 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
P. Grant - 1872,1872-03-12,Abandoned,"Cape Sable, 40 miles E of",,,,,,,,,,,,,,,,,,,,,,,,,,
Martha And Harriet - 1882,1882-10-28,Stranded,"Cape Sable, 4 miles S of Lighthouse",,,,,,,,,,,,,,,,,,,,,,,,,,
Griqueland - 1903,1903-01-22,Foundered,"Cape Sable, 35 miles SE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Mary C. - 1907,1907-02-06,Foundered,"Cape Sable, 35 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Alberta Rose - 1957,1957-09-15,Wrecked,"Cape Sable, 3 miles W of",,,,,,,,,,,,,,,,,,,,,,,,,,
Whizzer - 1952,1952-09-12,Collision,"Cape Sable, 25 miles SWxS of light",,,,,,,,,,,,,,,,,,,,,,,,,,
Ethel - 1912,1912-10-02,Foundered,"Cape Sable, 25 miles SSW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Audrey A. - 1919,1919-09-15,Abandoned,"Cape Sable, 20 miles south of",,,,,,,,,,,,,,,,,,,,,,,,,,
Blenheim - 1905,1905-06-12,Collision,"Cape Sable, 15 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
J. Morton - 1874,1874-04-08,Stranded,Cape Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Matilda - 1889,1889-11-29,Stranded,Cape Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Ardonmhor - 1897,1897-08-12,Stranded,Cape Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Edith N. Mcinnis - 1899,1899-01-14,Stranded,Cape Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona - 1907,1907-02-18,Stranded,Cape Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Hope - 1909,1909-05-01,Stranded,Cape Sable Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Martha - 1783,1783-09-01,Stranded,"Cape Sable and Tusket Island, on ledge between",,,,,,,,,,,,,,,,,,,,,,,,,,
Janet - 1798,1798-09-01,Wrecked,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle - 1802,1802-01-01,Wrecked,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Mars - 1802,1802-01-01,Wrecked,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Milliken - 1831,1831-12-04,Wrecked,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordelia - 1837,1837-11-10,Stranded,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Duncan - 1845,1845-01-01,Stranded,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Ann - 1847,1847-01-01,Wrecked,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Reward - 1848,1848-01-01,Stranded,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Waltham - 1861,1861-01-01,Wrecked,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Janette - 1867,1867-01-01,Wrecked,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Lochiel - 1867,1867-01-01,Wrecked,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Annie Mitchell - 1868,1868-01-01,Wrecked,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Almira - 1868,1868-04-01,Wrecked,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Albatros - 1871,1871-11-01,Stranded,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Alhambra - 1875,1875-05-02,Stranded,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Juventa - 1876,1876-06-21,Stranded,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrasher - 1881,1881-09-23,Burnt,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Brothers - 1883,1883-03-22,Stranded,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Rose - 1885,1885-11-12,Stranded,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Transit - 1889,1889-07-14,Stranded,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence C. - 1890,1890-12-02,Burnt,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Britannia - 1892,1892-10-24,Wrecked,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluer-de-lis - 1906,1906-08-10,Stranded,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
HMCS Niobe - 1911,1911-07-30,Grounded,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Nellie - 1916,1916-01-07,Stranded,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucille M. - 1942,1942-07-26,Wrecked,Cape Sable,,,,,,,,,,,,,,,,,,,,,,,,,,
Margaret Leonard - 1910,1910-10-13,Foundered,Cape Roseway,,,,,,,,,,,,,,,,,,,,,,,,,,
Transport No. 41 - 1950,1950-04-08,Abandoned,Cape Roseway,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady L. V. A. - 1974,1974-05-14,Wrecked,Cape Roseway,,,,,,,,,,,,,,,,,,,,,,,,,,
James Dwyer - 1889,1889-06-05,Stranded,Cape Roser (CB),,,,,,,,,,,,,,,,,,,,,,,,,,
Amiel - 1880,1880-10-23,Stranded,"Cape Ray, NFLD, 70 miles SW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Welcome Return - 1872,1872-10-16,Stranded,"Cape North, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Doncaster - 1835,1835-05-26,Foundered,"Cape North, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Kismet Ii - 1955,1955-11-25,Stranded,"Cape North, 5 miles off light",,,,,,,,,,,,,,,,,,,,,,,,,,
Max C. - 1939,1939-08-29,Foundered,"Cape North, 5 mile SE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Carol Joyce - 1957,1957-05-04,Wrecked,"Cape North, 18 miles NNE from",,,,,,,,,,,,,,,,,,,,,,,,,,
Morning Star - 1834,1834-12-15,Wrecked,Cape North Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Murr - 1803,1803-01-01,Wrecked,Cape North,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Brothers - 1808,1808-01-01,Wrecked,Cape North,,,,,,,,,,,,,,,,,,,,,,,,,,
George - 1811,1811-01-01,Wrecked,Cape North,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenville - 1813,1813-01-01,Wrecked,Cape North,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry - 1821,1821-12-01,Wrecked,Cape North,,,,,,,,,,,,,,,,,,,,,,,,,,
Jabez - 1835,1835-01-01,Wrecked,Cape North,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth - 1837,1837-01-01,Wrecked,Cape North,,,,,,,,,,,,,,,,,,,,,,,,,,
Esperance - 1843,1843-01-01,Wrecked,Cape North,,,,,,,,,,,,,,,,,,,,,,,,,,
Almyra - 1844,1844-01-01,Wrecked,Cape North,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruiser - 1844,1844-01-01,Wrecked,Cape North,,,,,,,,,,,,,,,,,,,,,,,,,,
George Henry - 1845,1845-01-01,Wrecked,Cape North,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungarian - 1896,1896-07-02,Wrecked,Cape North,,,,,,,,,,,,,,,,,,,,,,,,,,
Beland - 1922,1922-11-24,Foundered,"Cape Negro, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Lively - 1820,1820-06-01,Wrecked,"Cape Negro, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Oceanic - 1907,1907-12-22,Stranded,"Cape Negro, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie M. - 1888,1888-11-11,Stranded,Cape Negro Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucy - 1794,1794-01-01,Wrecked,Cape Negro,,,,,,,,,,,,,,,,,,,,,,,,,,
York - 1795,1795-01-01,Wrecked,Cape Negro,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara - 1849,1849-01-01,Wrecked,Cape Negro,,,,,,,,,,,,,,,,,,,,,,,,,,
Macduff - 1859,1859-01-01,Wrecked,Cape Negro,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean Wave - 1862,1862-01-01,Wrecked,Cape Negro,,,,,,,,,,,,,,,,,,,,,,,,,,
"N, Noyes - 1879",1879-12-01,Stranded,Cape Negro,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellen C. - 1880,1880-09-28,Stranded,Cape Negro,,,,,,,,,,,,,,,,,,,,,,,,,,
New Era - 1889,1889-06-27,Stranded,Cape Negro,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Chief - 1876,1876-10-10,Foundered,Cape Marbon (?),,,,,,,,,,,,,,,,,,,,,,,,,,
Linda Pardy - 1929,1929-11-11,Foundered,"Cape Mabou, 2 miles off",,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Queen - 1920,1920-05-19,Foundered,"Cape La Have, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Ikona Ii - 1938,1938-10-01,Wrecked,"Cape La Have, 8 miles SW Mag. from",,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada - 1902,1902-12-15,Foundered,"Cape La Have, 5 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Cape D`or - 1925,1925-04-30,Collision,"Cape La Have, 10 miles S of",,,,,,,,,,,,,,,,,,,,,,,,,,
Uncas - 1870,1870-07-09,Stranded,Cape La Have,,,,,,,,,,,,,,,,,,,,,,,,,,
Muriel L. - 1931,1931-07-24,Wrecked,Cape La Have,,,,,,,,,,,,,,,,,,,,,,,,,,
Helen M. Crosby - 1892,1892-10-28,Stranded,Cape John Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond - 1873,1873-11-24,Stranded,Cape John,,,,,,,,,,,,,,,,,,,,,,,,,,
Christina - 1873,1873-11-25,Stranded,Cape John,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Lara - 1874,1874-07-11,Stranded,Cape Jeddore,,,,,,,,,,,,,,,,,,,,,,,,,,
Auxiliar - 1872,1872-11-08,Loss of anchors and,"Cape Jack, Strait of Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Utopia - 1908,1908-09-19,Stranded,"Cape Jack, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Hurry On - 1935,1935-09-23,Foundered,"Cape Jack, 6.5 miles from Henry Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin - 1881,1881-09-07,Stranded,Cape Jack Shoal,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Master - 1881,1881-11-21,Foundered,Cape Jack Shoal,,,,,,,,,,,,,,,,,,,,,,,,,,
Fannie Powell Ii - 1934,1934-12-23,Foundered,Cape Jack Light,,,,,,,,,,,,,,,,,,,,,,,,,,
Alina - 1875,1875-05-22,Stranded,"Cape Jack Ledges, George Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Dorchester - 1841,1841-12-01,Wrecked,Cape Jack,,,,,,,,,,,,,,,,,,,,,,,,,,
Atalia - 1879,1879-10-19,Stranded,Cape Jack,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilee - 1909,1909-07-08,Stranded,"Cape Island Light, Bras d`Or Lake, 0.5 mile outside",,,,,,,,,,,,,,,,,,,,,,,,,,
Ripple - 1880,1880-09-01,Stranded,Cape Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Everett Haskell - 1884,1884-12-22,Stranded,Cape Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Zinga - 1879,1879-05-04,Stranded,"Cape Hogan, Isle Madame",,,,,,,,,,,,,,,,,,,,,,,,,,
Baleine - 1921,1921-09-30,Stranded,"Cape Hogan, Isle Madame",,,,,,,,,,,,,,,,,,,,,,,,,,
Azov - 1925,1925-04-30,Stranded,"Cape Hogan, Isle Madame",,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie Marshall - 1923,1923-05-19,Wrecked,"Cape Hogan, east side of",,,,,,,,,,,,,,,,,,,,,,,,,,
Omega - 1909,1909-06-06,Stranded,Cape Hogan,,,,,,,,,,,,,,,,,,,,,,,,,,
M. A. Harrera - 1873,1873-04-18,Stranded,Cape Henry,,,,,,,,,,,,,,,,,,,,,,,,,,
Neva - 1889,1889-09-19,Stranded,Cape George Breakwater,,,,,,,,,,,,,,,,,,,,,,,,,,
Margaret Jean - 1848,1848-01-01,Stranded,Cape George,,,,,,,,,,,,,,,,,,,,,,,,,,
Europa - 1849,1849-10-31,Wrecked,Cape George,,,,,,,,,,,,,,,,,,,,,,,,,,
Gazelle - 1868,1868-12-19,Stranded,Cape George,,,,,,,,,,,,,,,,,,,,,,,,,,
Sappho - 1870,1870-12-20,Stranded,Cape George,,,,,,,,,,,,,,,,,,,,,,,,,,
Susan - 1876,1876-07-06,Stranded,Cape George,,,,,,,,,,,,,,,,,,,,,,,,,,
Idlewilde - 1877,1877-12-23,Stranded,Cape George,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertha Et Lucy - 1879,1879-11-20,Stranded,Cape George,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridget Ann - 1883,1883-10-24,Stranded,Cape George,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus Grant - 1883,1883-11-16,Stranded,Cape George,,,,,,,,,,,,,,,,,,,,,,,,,,
J. N. A. - 1883,1883-12-04,Stranded,Cape George,,,,,,,,,,,,,,,,,,,,,,,,,,
Scylla - 1890,1890-11-13,Collision,Cape George,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurence - 1898,1898-12-12,Stranded,Cape George,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosemary - 1904,1904-05-24,Stranded,Cape George,,,,,,,,,,,,,,,,,,,,,,,,,,
Nile - 1919,1919-01-01,Foundered,Cape George,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald And Eugene Ii - 1965,1965-07-20,Sank,Cape George,,,,,,,,,,,,,,,,,,,,,,,,,,
North Bay - 1968,1968-09-25,Wrecked,Cape George,,,,,,,,,,,,,,,,,,,,,,,,,,
William The Fourth - 1839,1839-01-01,Stranded,Cape Fourchu Bar,,,,,,,,,,,,,,,,,,,,,,,,,,
Elsie - 1900,1900-07-28,Capsized,Cape Fourchu,,,,,,,,,,,,,,,,,,,,,,,,,,
Reliance - 1911,1911-11-13,Stranded,Cape Fourchu,,,,,,,,,,,,,,,,,,,,,,,,,,
Freia - 1913,1913-05-31,Stranded,Cape Fourchu,,,,,,,,,,,,,,,,,,,,,,,,,,
Loren B. Snow - 1922,1922-06-01,Foundered,Cape Fourchu,,,,,,,,,,,,,,,,,,,,,,,,,,
Charanna - 1979,1979-07-06,Foundered,Cape Fourchu,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucy A. - 1922,1922-04-04,Foundered,"Cape Forchu, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
William G. Putman - 1879,1879-08-04,Sprung a leak,"Cape Egmont, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Aspy - 1924,1924-08-26,Stranded,Cape Egmont,,,,,,,,,,,,,,,,,,,,,,,,,,
Janet Glory - 1966,1966-07-30,Adrift,Cape d'Or,,,,,,,,,,,,,,,,,,,,,,,,,,
Colonia - 1905,1905-08-21,Stranded,"Cape Diamond Bay, W end of Fox Island, Chedabucto Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Louisa Janurin - 1843,1843-10-31,Wrecked,Cape Dauphin,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria - 1889,1889-10-12,Wrecked,Cape Dauphin,,,,,,,,,,,,,,,,,,,,,,,,,,
Leah D. - 1917,1917-08-10,Stranded,"Cape d`Or and Harbourville,",,,,,,,,,,,,,,,,,,,,,,,,,,
Alph. B. Parker - 1905,1905-10-16,Stranded,Cape Cove Sand Flats,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanessa - 1934,1934-02-08,Wrecked,"Cape Chignecto, Bay of Fundy, 6 miles NW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Nellie - 1927,1927-04-08,Stranded,"Cape Chignecto, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Endeavor - 1891,1891-11-06,Wrecked,Cape Chignecto,,,,,,,,,,,,,,,,,,,,,,,,,,
William Melbourne - 1926,1926-10-11,Stranded,Cape Chignecto,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartie Pierce - 1889,1889-01-24,Stranded,"Cape Canso, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Magellan Cloud - 1889,1889-05-29,Stranded,"Cape Canso, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Lucile M. Schnare - 1918,1918-08-20,Sank,"Cape Canso, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Glendora - 1878,1878-12-10,Stranded,"Cape Canso, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Willie A. - 1887,1887-04-21,Stranded,"Cape Canso, Andrew Passage",,,,,,,,,,,,,,,,,,,,,,,,,,
Crescent - 1879,1879-11-29,Abandoned,"Cape Canso, 8 miles north of",,,,,,,,,,,,,,,,,,,,,,,,,,
Morris Wilson - 1891,1891-10-13,Capsized,"Cape Canso, 40 miles SSW from",,,,,,,,,,,,,,,,,,,,,,,,,,
Flora Dell - 1889,1941-06-26,Stranded,"Cape Canso Island, off",,,,,,,,,,,,,,,,,,,,,,,,,,
British Eagle - 1870,1870-02-24,Stranded,Cape Canso,,,,,,,,,,,,,,,,,,,,,,,,,,
Agile - 1873,1873-08-24,Unknown,Cape Canso,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisa - 1874,1874-07-09,Stranded,Cape Canso,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajax - 1875,1875-05-27,Stranded,Cape Canso,,,,,,,,,,,,,,,,,,,,,,,,,,
Sophia - 1879,1879-10-07,Stranded,Cape Canso,,,,,,,,,,,,,,,,,,,,,,,,,,
Fanny B. - 1891,1891-10-13,Stranded,Cape Canso,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovation - 1921,1921-07-26,Foundered,Cape Canso,,,,,,,,,,,,,,,,,,,,,,,,,,
Princess Louise - 1872,1872-01-01,Foundered,"Cape Breton, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Favorite - 1875,1875-06-20,Abandoned,"Cape Breton, off",,,,,,,,,,,,,,,,,,,,,,,,,,
William - 1788,1788-04-28,Wrecked,"Cape Breton, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Gulf Gull - 1972,1972-02-15,Grounded,"Cape Breton, near",,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lawrence - 1780,1780-12-05,Wrecked,"Cape Breton, mouth of the Margaree River.",,,,,,,,,,,,,,,,,,,,,,,,,,
Sir George Provost - 1844,1844-05-31,Unknown,"Cape Breton, Cape Hinchinlook.",,,,,,,,,,,,,,,,,,,,,,,,,,
Minnie Louise - 1898,1898-01-01,Foundered,"Cape Breton, and St. Pierre, between",,,,,,,,,,,,,,,,,,,,,,,,,,
Sampon - 1783,1783-01-01,Wrecked,Cape Breton Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Dart - 1831,1831-01-01,Wrecked,Cape Breton Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Racer - 1886,1886-12-04,Wrecked,Cape Breton Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Raser - 1886,1886-12-04,Stranded,Cape Breton Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane Marie - 1972,1972-05-01,Foundered,Cape Breton Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Joan Of Arc - 1976,1976-05-07,Grounded,Cape Breton Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon G. - 1978,1978-10-11,Wrecked,Cape Breton Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss D. - 1978,1978-10-17,Capsized,Cape Breton Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Chancellor - 1596,1596-01-01,Wrecked,Cape Breton,,,,,,,,,,,,,,,,,,,,,,,,,,
Sovereign - 1801,1801-05-01,Wrecked,Cape Breton,,,,,,,,,,,,,,,,,,,,,,,,,,
Nancy - 1842,1842-01-01,Wrecked,Cape Breton,,,,,,,,,,,,,,,,,,,,,,,,,,
E. A. Wilson - 1870,1870-06-22,Stranded,Cape Breton,,,,,,,,,,,,,,,,,,,,,,,,,,
Ringleader - 1883,1883-06-29,Stranded,Cape Breton,,,,,,,,,,,,,,,,,,,,,,,,,,
Eschol - 1886,1886-11-24,Stranded,Cape Breton,,,,,,,,,,,,,,,,,,,,,,,,,,
Mish - 1892,1892-07-16,Stranded,Cape Breton,,,,,,,,,,,,,,,,,,,,,,,,,,
Philomond - 1898,1898-04-01,Wrecked,Cape Breton,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgar T. Richards - 1898,1898-06-12,Wrecked,Cape Breton,,,,,,,,,,,,,,,,,,,,,,,,,,
Daisy - 1899,1899-08-01,Sank,Cape Breton,,,,,,,,,,,,,,,,,,,,,,,,,,
Invasion - 1967,1967-08-13,Sank,Cape Breton,,,,,,,,,,,,,,,,,,,,,,,,,,
Maid Of Clare - 1969,1969-06-23,Wrecked,Cape Breaker,,,,,,,,,,,,,,,,,,,,,,,,,,
M. D. S. - 1906,1906-08-22,Stranded,Cape Blomidon,,,,,,,,,,,,,,,,,,,,,,,,,,
Volund - 1907,1907-10-05,Stranded,Cape Blomidon,,,,,,,,,,,,,,,,,,,,,,,,,,
Flora M. - 1911,1941-06-29,Stranded,Cape Blomidon,,,,,,,,,,,,,,,,,,,,,,,,,,
General Canrobert - 1875,1875-11-26,Stranded,"Cape Auguet, Isle Madame",,,,,,,,,,,,,,,,,,,,,,,,,,
Tracy Jane - 1878,1878-11-09,Stranded,"Cape Auguet, Isle Madame",,,,,,,,,,,,,,,,,,,,,,,,,,
General Pellisier - 1882,1882-09-19,Stranded,"Cape Auguet, Isle Madame",,,,,,,,,,,,,,,,,,,,,,,,,,
Nimble - 1890,1890-12-24,Stranded,"Cape Auguet, Isle Madame",,,,,,,,,,,,,,,,,,,,,,,,,,
Gladiola - 1950,1950-01-09,Grounded,"Cape Auguet, Isle Madame",,,,,,,,,,,,,,,,,,,,,,,,,,
Peter And John - 1873,1873-08-24,Stranded,Cape Arichat,,,,,,,,,,,,,,,,,,,,,,,,,,
Lombard - 1837,1837-01-01,Wrecked,Cape Anne,,,,,,,,,,,,,,,,,,,,,,,,,,
G. F. Deforest - 1877,1877-09-18,Stranded,"Cap Rouge, Isle Madame",,,,,,,,,,,,,,,,,,,,,,,,,,
G. S. Deforest - 1877,1877-09-18,Stranded,Cap Rouge,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene - 1897,1897-04-25,Stranded,Cap Rouge,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma Belliveau - 1918,1918-12-08,Stranded,"Cap La Ronde, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Bras D`or - 1924,1924-12-11,Burnt,"Cap La Ronde, 5 miles from",,,,,,,,,,,,,,,,,,,,,,,,,,
Ludlow Castle - 1724,1724-10-03,Stranded,"Canso, on ledge near",,,,,,,,,,,,,,,,,,,,,,,,,,
Margaret - 1873,1873-07-12,Wrecked,"Canso, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Tiber - 1902,1902-12-25,Foundered,"Canso, off",,,,,,,,,,,,,,,,,,,,,,,,,,
A. R. Dall - 1875,1875-10-23,Wrecked,"Canso, north side",,,,,,,,,,,,,,,,,,,,,,,,,,
St. Jean Des Sables D`olonnes - 1738,1738-10-18,Wrecked,"Canso, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Nassau - 1771,1771-01-01,Wrecked,"Canso, near",,,,,,,,,,,,,,,,,,,,,,,,,,
G. W. Moore - 1875,1875-05-02,Loss of mainmast,"Canso, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Frankier - 1915,1915-12-10,Stranded,"Canso, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Algoma - 1876,1876-01-01,Foundered,"Canso, and Shelburne, between",,,,,,,,,,,,,,,,,,,,,,,,,,
Magdalen - 1935,1935-09-07,Wrecked,"Canso, and Petit de Grat, between",,,,,,,,,,,,,,,,,,,,,,,,,,
Western Glen - 1956,1956-08-09,Wrecked,"Canso, 45 miles from, Lat. 45 30` N, Long. 68 05`W (?)",,,,,,,,,,,,,,,,,,,,,,,,,,
Howard L. - 1894,1894-08-31,Stranded,"Canso, 4 miles SE of Light",,,,,,,,,,,,,,,,,,,,,,,,,,
Parole - 1882,1882-11-20,Collision,"Canso, 25 miles SSW of light",,,,,,,,,,,,,,,,,,,,,,,,,,
Heather H. - 1951,1951-07-09,Wrecked,"Canso, 18 miles from",,,,,,,,,,,,,,,,,,,,,,,,,,
Essie M. L. - 1939,1939-11-04,Wrecked,"Canso, 14 miles ESE of lighthouse",,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Read - 1887,1887-03-30,Stranded,Canso Reef,,,,,,,,,,,,,,,,,,,,,,,,,,
Crofton Mcleod - 1908,1908-05-26,Stranded,"Canso Harbour, on reef in",,,,,,,,,,,,,,,,,,,,,,,,,,
Blanche - 1909,1909-10-31,Stranded,"Canso Harbour, north entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Antelope - 1877,1877-12-01,Stranded,"Canso Harbour, North entrance",,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine - 1933,1933-12-31,Stranded,"Canso Harbour, North entrance",,,,,,,,,,,,,,,,,,,,,,,,,,
Cepola - 1879,1879-10-29,Stranded,"Canso Harbour, mouth of",,,,,,,,,,,,,,,,,,,,,,,,,,
Speculator - 1879,1879-12-16,Stranded,"Canso Harbour, mouth of",,,,,,,,,,,,,,,,,,,,,,,,,,
Dauphin - 1731,1731-10-18,Wrecked,"Canso Harbour, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Glendora - 1878,1878-12-10,Stranded,"Canso Harbour, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence - 1893,1893-06-02,Stranded,"Canso Harbour, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
Clara M. - 1912,1912-10-21,Stranded,"Canso Harbour, entrance to",,,,,,,,,,,,,,,,,,,,,,,,,,
